"Season","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS"
"1921","26867","85172","95556","24782","18500","3981","1364","937","11928","10710","6847","","6959","551","","2986","","1487","1317",".291",".348",".403",".750"
"1922","27246","85346","96155","24613","18366","3944","1248","1055","12057","10787","7253","","6950","598","","2958","","1451","1165",".288",".348",".401",".749"
"1923","27491","85229","96130","24218","18174","3922","1142","980","11872","10668","7563","","7021","605","","2733","","1567","1258",".284",".347",".391",".738"
"1924","27577","84666","95288","24271","18119","4081","1175","896","11716","10605","7364","","6637","553","","2705","","1501","1247",".287",".348",".394",".742"
"1925","27936","85432","96226","24914","18237","4337","1171","1169","12593","11422","7744","","6665","495","","2555","","1388","1103",".292",".354",".411",".765"
"1926","28214","83752","95139","23505","17343","4142","1157","863","11443","10448","7703","","6777","484","","3200","","1275","500",".281",".345",".389",".733"
"1927","27912","84461","95571","23960","17740","4148","1150","922","11748","10758","7445","","6889","482","","3183","","1437","511",".284",".345",".393",".738"
"1928","27858","84480","95584","23736","17282","4223","1138","1093","11650","10738","7665","","7099","454","","2985","","1269","482",".281",".344",".397",".741"
"1929","27837","85210","96322","24642","17645","4482","1166","1349","12749","11794","7992","","6982","407","","2713","","1329","492",".289",".353",".417",".770"
"1930","28089","86571","97239","25597","17994","4756","1282","1565","13695","12744","7654","","7934","408","","2606","","1080","423",".296",".356",".434",".790"
"1931","27761","86624","96121","24046","17399","4508","1070","1069","11891","11049","7679","","7894","381","","1437","","1088","452",".278",".339",".391",".730"
"1932","27788","87182","96577","24106","17097","4579","1072","1358","12114","11287","7549","","7878","367","","1479","","990","410",".277",".337",".400",".737"
"1933","27601","85222","94615","22969","16990","3945","967","1067","10989","10209","7344","","7444","351","","1698","1105","860","376",".270",".330",".376",".706"
"1934","27622","85911","95563","23962","17422","4314","882","1344","11999","11219","7855","","8432","342","","1455","968","909","315",".279",".342",".397",".738"
"1935","27383","86437","96202","24074","17497","4265","987","1325","12026","11156","7834","","8004","382","","1549","910","883","329",".279",".341",".397",".738"
"1936","27836","87638","97884","24863","18049","4471","979","1364","12846","11930","8418","","8235","413","","1415","1003","963","320",".284",".349",".404",".753"
"1937","27628","85963","96148","23769","17126","4216","997","1430","12070","11208","8443","","9001","322","","1420","956","1021","337",".277",".343",".399",".742"
"1938","27191","85013","95347","23293","16837","4046","935","1475","11969","11237","8632","","8335","348","","1354","1038","896","325",".274",".343",".396",".739"
"1939","28165","84879","95902","23371","16871","4139","916","1445","11876","11040","8478","","8501","353","","2192","1945","957","345",".275",".344",".397",".740"
"1940","28157","86003","95900","23002","16401","4101","929","1571","11568","10702","8273","","9049","358","","1266","1825","953","333",".267",".334",".392",".726"
"1941","28284","85854","96484","22531","16375","3958","867","1331","11168","10325","8886","","8826","312","","1432","1869","882","323",".262",".334",".375",".709"
"1942","27591","83731","93936","21176","15905","3477","723","1071","9995","9187","8393","","8325","339","","1473","1756","961","390",".253",".323",".350",".674"
"1943","27669","84701","95072","21467","16338","3467","757","905","9687","8954","8361","","8546","327","","1683","1881","1010","449",".253",".323",".344",".667"
"1944","28266","85665","95637","22307","16812","3653","808","1034","10350","9579","7930","","8185","349","","1693","1853","920","339",".260",".326",".358",".684"
"1945","28066","84447","94788","21977","16745","3497","728","1007","10286","9499","8299","","8045","361","","1681","1710","978","373",".260",".329",".355",".684"
"1946","29481","84333","95071","21555","15978","3579","783","1215","9953","9205","8800","","9696","316","","1622","1865","884","340",".256",".328",".360",".688"
"1947","29217","84436","95376","22003","16066","3568","804","1565","10827","10110","9217","","9157","317","","1406","1938","760","333",".261",".336",".377",".713"
"1948","29704","84411","95792","22234","16159","3686","834","1555","11327","10589","9623","","9016","342","","1416","1934","812","288",".263",".341",".382",".723"
